day_of_week,driver_age,driver_sex,educational_level,driving_experience,vehicle_type,vehicle_owner,service_year,accident_area,lanes,road_allignment,junction_type,surface_type,road_surface_conditions,light_condition,weather_condition,collision_type,vehicles_involved,casualties,vehicle_movement,casualty_class,casualty_sex,casualty_age,casualty_severity,pedestrian_movement,accident_cause,hour,minute
6,1,2,2,3,1,4,6,7,2,6,8,1,3,4,7,3,3,2,3,1,2,4,3,6,2,19,33
2,1,2,5,3,4,4,3,3,5,4,8,1,1,4,3,2,4,1,3,1,2,1,3,6,2,18,42
3,2,2,2,1,1,3,1,2,7,6,8,1,1,4,3,3,2,1,3,1,2,4,3,6,4,19,29
7,2,2,5,3,9,4,6,8,3,6,8,1,4,3,5,9,2,1,3,4,3,6,4,6,2,7,51
7,1,2,5,3,11,4,3,7,3,6,1,1,1,4,3,3,2,1,4,1,2,5,3,6,13,9,1
1,5,2,5,2,4,4,6,7,1,6,2,1,4,4,5,9,1,1,3,1,2,2,3,6,2,19,11
5,1,2,5,3,1,4,6,2,5,6,2,1,1,4,3,9,3,4,3,2,1,2,3,6,13,18,20
7,1,2,5,2,1,4,1,7,1,6,8,1,1,4,3,9,4,5,3,4,3,6,4,6,1,15,17
7,5,2,5,3,13,4,6,7,7,6,3,1,1,4,3,9,2,1,3,1,2,1,3,6,1,8,18
6,3,2,5,4,1,3,6,8,3,6,4,1,1,4,3,9,2,1,3,4,3,6,4,6,12,18,23
5,4,2,6,3,15,4,2,8,1,6,8,1,4,1,4,7,3,2,3,1,1,4,3,6,4,17,22
5,2,2,5,4,15,4,2,10,5,6,2,1,1,4,3,9,1,1,3,1,2,5,2,6,10,16,1
1,3,2,2,3,6,1,2,8,3,6,8,1,1,4,3,5,2,1,3,1,2,1,3,6,17,8,48
6,2,2,3,2,1,4,6,13,5,6,2,1,1,4,3,9,2,1,5,1,1,1,3,6,11,10,5
1,2,2,5,5,4,4,6,7,3,6,8,1,1,4,3,3,2,1,1,1,2,1,3,6,11,17,31
7,1,2,5,3,1,4,6,8,3,6,8,1,1,4,3,9,2,1,2,1,2,1,3,6,11,17,57
7,3,2,3,3,1,4,6,13,1,6,8,1,4,4,5,9,3,1,4,1,2,4,2,6,10,16,24
4,1,2,5,3,1,4,2,8,5,6,1,1,1,4,3,4,2,2,2,1,2,1,2,6,14,20,31
6,2,2,5,3,1,4,4,3,7,6,1,1,1,4,3,9,2,1,3,1,2,2,3,6,4,10,52
7,2,2,5,3,1,4,6,8,1,6,2,1,1,4,3,9,1,1,3,2,2,1,3,6,10,11,33
5,3,2,5,5,1,4,6,2,3,6,8,1,4,4,5,9,2,1,8,1,2,1,3,6,2,20,3
1,1,2,5,2,11,4,6,2,5,6,2,1,4,4,3,9,1,2,4,1,2,2,3,6,1,7,27
4,4,2,5,3,11,4,1,7,5,6,4,1,1,1,3,9,2,1,1,1,2,1,3,6,12,23,1
4,1,2,5,4,1,2,6,8,3,6,8,1,1,4,3,3,4,1,3,4,3,6,4,6,2,13,31
7,1,2,5,2,8,4,2,7,1,6,8,1,4,1,5,9,2,1,8,4,3,6,4,6,3,5,36
7,5,2,5,4,6,4,6,3,3,6,1,1,1,1,3,9,2,2,3,4,3,6,4,6,4,23,39
6,3,2,5,4,8,4,4,6,3,8,8,1,4,4,3,9,2,1,3,1,2,2,3,6,1,13,11
7,1,2,5,1,11,4,6,8,5,6,2,1,4,4,5,9,2,2,12,1,1,2,3,6,10,10,37
5,5,2,5,2,1,4,6,7,7,6,1,3,1,1,3,2,2,1,3,1,2,2,2,6,10,19,51
3,1,2,5,3,1,4,6,8,3,6,1,1,1,4,3,9,2,2,3,2,1,1,3,6,14,13,21
7,3,2,5,3,8,4,3,3,5,6,2,1,4,1,3,9,2,1,1,4,3,6,4,6,16,20,51
7,2,2,4,1,15,4,6,7,5,6,2,1,1,4,3,9,2,2,3,2,1,5,3,6,2,20,26
1,2,2,5,3,12,1,6,7,7,7,2,3,1,4,3,9,2,1,2,4,3,6,4,6,2,18,20
3,1,2,3,4,6,4,6,10,2,6,1,1,1,4,3,7,2,1,2,3,2,1,3,6,4,9,56
1,5,2,2,5,1,4,6,7,1,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,2,14,31
3,2,2,5,5,1,4,6,8,3,6,8,1,1,1,3,9,2,1,3,4,3,6,4,6,13,18,21
3,1,2,5,2,1,1,4,8,1,6,1,1,4,1,4,9,2,1,3,2,1,5,3,6,4,22,56
7,5,1,5,4,12,4,6,5,5,6,8,1,1,4,3,9,1,1,3,4,3,6,4,6,14,8,6
3,2,2,2,2,10,4,6,8,5,6,2,1,1,4,3,9,1,1,10,4,3,6,4,6,11,14,55
5,2,2,3,1,10,4,6,7,3,6,2,1,1,4,3,9,2,5,3,3,1,1,3,6,10,16,31
2,5,2,2,3,1,4,4,4,3,6,1,1,1,4,3,9,2,3,3,4,3,6,4,6,17,14,31
3,2,2,2,3,9,4,6,8,3,6,1,1,1,4,3,9,2,3,3,1,1,1,3,6,17,9,10
3,3,2,5,1,1,4,6,7,5,6,8,1,1,4,3,3,2,1,3,3,1,1,2,6,1,12,46
1,3,2,5,4,5,1,2,8,3,6,8,1,4,4,9,7,3,1,3,3,1,2,3,2,13,13,6
1,2,2,5,2,6,2,6,8,7,6,1,1,1,4,3,3,2,6,3,3,1,1,2,4,16,18,1
6,2,2,3,2,1,4,6,10,5,6,2,1,4,1,1,9,1,1,3,1,2,1,3,6,1,3,3
3,3,2,5,5,4,4,6,10,3,6,8,1,4,4,4,9,2,3,3,2,2,3,3,6,11,12,46
6,3,2,5,1,1,4,6,8,1,6,8,5,1,4,3,9,1,1,2,1,2,1,3,6,11,9,46
6,1,2,5,3,11,1,6,7,5,6,2,1,4,1,3,3,1,1,4,4,3,6,4,6,12,18,1
3,2,2,5,3,15,4,1,4,5,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,2,11,54
6,5,1,2,1,15,4,5,8,7,4,8,1,1,4,3,9,2,1,5,1,1,2,3,6,4,15,48
4,1,2,5,1,5,1,6,8,5,6,8,1,1,4,3,1,1,1,3,4,3,6,4,6,6,15,42
7,2,2,5,2,4,1,6,10,3,6,2,1,4,4,3,9,2,2,3,4,3,6,4,6,11,11,36
3,1,2,2,4,15,4,6,7,5,6,2,1,4,1,5,3,3,1,3,1,2,1,3,6,1,23,1
1,1,2,5,5,1,4,6,7,5,6,8,1,1,1,3,9,2,1,4,3,1,4,3,6,12,18,11
5,1,2,5,2,1,4,6,7,5,6,2,1,1,4,3,9,2,1,4,1,2,2,3,6,2,19,27
7,3,2,5,4,12,4,3,8,5,6,1,1,4,1,5,9,2,2,3,2,2,1,3,6,1,22,13
2,3,2,2,3,8,4,6,8,5,6,1,1,1,4,3,9,2,1,3,4,3,6,4,6,19,9,60
7,4,2,5,2,10,4,5,10,3,6,8,1,1,4,3,9,2,1,3,1,2,5,2,6,11,16,31
2,1,2,5,2,1,4,6,7,5,8,2,1,1,4,3,3,2,1,3,4,3,6,4,6,11,16,9
1,3,2,5,5,6,4,6,8,5,6,1,1,1,4,3,2,2,1,4,1,2,1,3,6,13,12,15
6,2,2,5,1,9,4,6,8,2,6,1,1,1,4,3,2,2,1,8,4,3,6,4,6,3,17,31
2,3,2,1,2,6,4,6,7,3,6,8,1,1,4,3,9,1,1,3,4,3,6,4,6,1,17,35
